Year,TFRBAll,TFRB4,TFRB2,TFAll,TF4,TF2,RAll,R4,R2,BAll,B4,B2
1963,1248,1286,775,508,553,171,282,279,209,457,455,395
1966,1378.03,1439.25,925.74,573.97,640.30,214.29,328.49,327.07,279.97,475.57,471.88,431.48
1967,1415.13,1487.32,983.81,587.53,662.67,232.11,341.99,341.17,301.33,485.61,483.47,450.37
1968,1458.61,1545.25,1052.94,596.33,683.29,250.40,360.26,360.12,326.88,502.01,501.85,475.66
1969,1560.04,1674.47,1089.37,645.14,755.01,247.44,389.23,391.87,346.91,525.67,527.59,495.02
1970,1652.68,1784.32,1120.37,688.02,813.79,249.44,418.82,421.92,369.44,545.84,548.62,501.49
1971,1730.49,1877.59,1171.73,723.81,865.34,250.82,444.91,448.42,390.90,561.76,563.83,530.00
1972,1834.38,2030.74,1275.95,759.45,950.34,286.85,487.78,492.43,414.83,587.15,587.97,574.27
1973,1903.05,2097.23,1358.39,795.65,984.58,328.47,495.41,499.86,429.69,611.98,612.78,600.23
1974,1983.09,2186.60,1431.50,809.36,1008.08,327.61,528.03,532.68,460.20,645.70,645.83,643.69
1975,2103.29,2354.80,1473.40,829.06,1073.14,297.21,568.90,576.08,473.99,705.34,705.57,702.20
1976,2275.21,2576.84,1597.85,924.05,1218.40,345.56,603.37,610.79,502.71,747.79,747.66,749.58
1977,2410.75,2725.00,1703.45,984.47,1291.48,378.18,645.28,653.83,524.75,781.01,779.69,800.52
1978,2586.64,2917.26,1828.04,1072.65,1396.74,410.89,687.94,695.50,575.01,826.05,825.02,842.14
1979,2808.92,3167.05,1979.42,1162.82,1512.94,450.97,750.91,759.26,627.98,895.19,894.85,900.48
1980,3101.26,3499.42,2230.15,1288.61,1678.66,525.90,836.21,845.89,704.53,976.43,974.87,999.72
1981,3489.38,3950.81,2475.65,1456.64,1907.23,589.58,949.86,961.42,792.51,1082.88,1082.16,1093.56
1982,3876.68,4405.97,2713.44,1625.83,2139.37,674.64,1063.63,1077.90,873.41,1187.23,1188.70,1165.40
1983,4167.23,4747.14,2854.49,1782.68,2343.56,730.29,1145.11,1162.04,916.18,1239.43,1241.54,1208.02
1984,4562.71,5160.48,3179.39,1985.30,2567.45,821.16,1267.12,1282.13,1057.63,1310.28,1310.90,1300.61
1985,4884.67,5504.17,3366.92,2181.04,2784.36,888.45,1338.25,1354.82,1106.93,1365.38,1364.99,1371.54
1986,5205.73,5964.04,3295.35,2312.01,3042.13,897.22,1404.69,1426.51,1034.18,1489.03,1495.40,1363.95
1987,5494.48,6272.34,3262.98,2458.02,3200.84,809.21,1487.63,1516.23,1017.10,1548.84,1555.27,1436.66
1988,5868.55,6725.43,3572.93,2657.58,3472.20,979.45,1574.58,1608.75,1084.65,1636.40,1644.47,1508.84
1989,6207.22,7211.56,3704.94,2839.24,3800.19,977.80,1637.91,1674.66,1104.73,1730.07,1736.71,1622.42
1990,6561.68,7601.57,3930.35,3016.26,4008.93,1087.48,1743.26,1781.83,1182.42,1802.16,1810.81,1660.45
1991,7077.05,8237.75,4092.04,3285.50,4385.33,1189.19,1873.98,1921.10,1210.43,1917.57,1931.32,1692.42
1992,7452.44,8757.59,4207.45,3517.15,4751.94,1275.66,1938.81,1990.94,1240.09,1996.49,2014.71,1691.70
1993,7931.26,9296.34,4448.73,3827.25,5119.05,1398.70,2057.08,2110.61,1332.18,2046.94,2066.68,1717.85
1994,8305.51,9727.94,4633.30,4044.47,5390.87,1487.62,2145.32,2199.50,1395.94,2115.72,2137.57,1749.74
1995,8800.35,10329.95,4724.88,4338.04,5785.91,1522.24,2263.79,2318.15,1472.84,2198.52,2225.88,1729.80
1996,9205.78,10840.67,4895.18,4564.12,6118.45,1543.01,2365.37,2421.57,1522.49,2276.30,2300.64,1829.68
1997,9587.52,11277.13,5192.02,4754.79,6350.50,1694.52,2443.99,2507.16,1597.82,2388.74,2419.47,1899.68
1998,10075.77,11888.40,5290.87,5012.96,6722.75,1725.30,2557.28,2625.50,1616.00,2505.53,2540.15,1949.57
1999,10430.23,12349.08,5419.56,5221.81,7040.39,1727.83,2685.91,2750.62,1771.42,2522.51,2558.07,1920.31
2000,10819.74,12922.47,5466.24,5377.19,7371.53,1698.14,2821.44,2892.73,1780.69,2621.11,2658.21,1987.40
2001,11380.26,13639.15,5717.87,5646.50,7786.04,1799.74,2981.09,3060.05,1848.06,2752.68,2793.06,2070.07
2002,12013.52,14439.07,6252.13,6002.19,8308.53,1903.26,3179.01,3263.17,2077.04,2832.32,2867.38,2271.82
2003,12953.48,15505.37,6704.95,6608.02,9028.82,2174.48,3359.25,3448.16,2208.09,2986.21,3028.40,2322.38
2004,13793.28,16509.63,7095.27,7122.10,9705.85,2337.85,3571.54,3662.01,2353.64,3099.64,3141.76,2403.78
2005,14633.78,17451.41,7235.80,7601.50,10278.86,2416.89,3810.06,3904.84,2410.79,3222.22,3267.71,2408.12
2006,15485.56,18472.63,7466.86,8093.01,10930.70,2495.96,4018.53,4116.04,2527.94,3374.02,3425.89,2442.96
2007,16227.39,19364.37,7637.17,8480.06,11454.97,2516.00,4213.38,4316.72,2634.22,3533.95,3592.69,2486.95
2008,17045.07,20361.33,8218.86,8892.21,12045.67,2616.98,4445.87,4557.02,2782.00,3706.99,3758.64,2819.87
2009,17649.78,21125.84,8540.96,9134.58,12404.14,2923.20,4658.10,4784.63,2993.81,3857.10,3937.07,2623.95
2010,18475.36,22073.79,8868.16,9574.95,12945.42,3059.65,4877.75,5019.91,3074.02,4022.66,4108.45,2734.49
2011,19401.30,23010.64,9346.58,10178.59,13571.99,3244.17,5084.91,5223.93,3201.17,4137.80,4214.72,2901.24
2012,20233.00,23870.56,9573.18,10681.05,14099.41,3321.51,5295.77,5433.42,3340.21,4256.18,4337.73,2911.46
2013,20994.83,24700.72,9891.07,11072.85,14562.54,3369.08,5519.97,5653.80,3541.38,4402.01,4484.38,2980.61
2014,21728.61,25408.82,10152.63,11487.34,14956.78,3389.24,5718.65,5850.47,3654.71,4522.62,4601.57,3108.67
2015,22438.89,26132.36,10407.43,11861.80,15342.95,3411.69,5915.12,6042.53,3849.15,4661.97,4746.88,3146.59
2016,23091.14,26592.24,10597.48,12218.92,15511.78,3518.86,6106.67,6230.80,3931.73,4765.55,4849.67,3146.89
2017,23834.95,27356.81,10704.17,12615.26,15923.60,3538.75,6320.38,6450.96,3925.87,4899.30,4982.24,3239.54
