Date,NewCases,Year,Month,Day,parseableDate
Mar 25 2022,3029,2022,3,25,3/25/2022
Mar 24 2022,4891,2022,3,24,3/24/2022
Mar 23 2022,5100,2022,3,23,3/23/2022
Mar 22 2022,662,2022,3,22,3/22/2022
Mar 21 2022,15349,2022,3,21,3/21/2022
Mar 20 2022,0,2022,3,20,3/20/2022
Mar 19 2022,0,2022,3,19,3/19/2022
Mar 18 2022,4541,2022,3,18,3/18/2022
Mar 17 2022,5342,2022,3,17,3/17/2022
Mar 16 2022,3482,2022,3,16,3/16/2022
Mar 15 2022,727,2022,3,15,3/15/2022
Mar 14 2022,11628,2022,3,14,3/14/2022
Mar 13 2022,0,2022,3,13,3/13/2022
Mar 12 2022,0,2022,3,12,3/12/2022
Mar 11 2022,3825,2022,3,11,3/11/2022
Mar 10 2022,8579,2022,3,10,3/10/2022
Mar  9 2022,4985,2022,3,9,3/9/2022
Mar  8 2022,2358,2022,3,8,3/8/2022
Mar  7 2022,12634,2022,3,7,3/7/2022
Mar  6 2022,0,2022,3,6,3/6/2022
Mar  5 2022,0,2022,3,5,3/5/2022
Mar  4 2022,5754,2022,3,4,3/4/2022
Mar  3 2022,12793,2022,3,3,3/3/2022
Mar  2 2022,6027,2022,3,2,3/2/2022
Mar  1 2022,1460,2022,3,1,3/1/2022
Feb 28 2022,19492,2022,2,28,2/28/2022
Feb 27 2022,0,2022,2,27,2/27/2022
Feb 26 2022,0,2022,2,26,2/26/2022
Feb 25 2022,11737,2022,2,25,2/25/2022
Feb 24 2022,15674,2022,2,24,2/24/2022
Feb 23 2022,6483,2022,2,23,2/23/2022
Feb 22 2022,40585,2022,2,22,2/22/2022
Feb 21 2022,0,2022,2,21,2/21/2022
Feb 20 2022,0,2022,2,20,2/20/2022
Feb 19 2022,0,2022,2,19,2/19/2022
Feb 18 2022,12577,2022,2,18,2/18/2022
Feb 17 2022,11220,2022,2,17,2/17/2022
Feb 16 2022,12444,2022,2,16,2/16/2022
Feb 15 2022,14697,2022,2,15,2/15/2022
Feb 14 2022,40158,2022,2,14,2/14/2022
Feb 13 2022,0,2022,2,13,2/13/2022
Feb 12 2022,0,2022,2,12,2/12/2022
Feb 11 2022,22947,2022,2,11,2/11/2022
Feb 10 2022,10751,2022,2,10,2/10/2022
Feb  9 2022,39312,2022,2,9,2/9/2022
Feb  8 2022,47310,2022,2,8,2/8/2022
Feb  7 2022,73361,2022,2,7,2/7/2022
Feb  6 2022,0,2022,2,6,2/6/2022
Feb  5 2022,0,2022,2,5,2/5/2022
Feb  4 2022,37012,2022,2,4,2/4/2022
Feb  3 2022,96528,2022,2,3,2/3/2022
