State,yr1970,yr1980,yr1990,yr2000,yr2010,yr2012,yr2014,yr2015,yr2016,yr2017
Alabama,"103936","164306","218589","233962","327606","310311","305028","302959","304052","306822"
Alaska,"9471","21296","29833","27953","34799","32797","34331","31373","28436","26905"
Arizona,"109619","202716","264148","342490","793871","736465","674746","650422","608086","591626"
Arkansas,"52039","77347","90425","115172","175848","176458","169571","168402","167235","164082"
California,"1257245","1791088","1808740","2256708","2714699","2621606","2697168","2687410","2700445","2714051"
Colorado,"123395","162916","227131","263872","369450","363170","353949","348159","352255","360236"
Connecticut,"124700","159632","168604","161243","199384","201658","201928","199666","198010","197534"
Delaware,"25260","32939","42004","43897","55258","58127","60437","60392","61139","60338"
Florida,"235525","411891","588086","707684","1124778","1154506","1111018","1083570","1075527","1071484"
Georgia,"126511","184159","251786","346204","568916","545360","530963","530711","533073","538124"
Hawaii,"36562","49009","56436","60182","78073","78456","73505","69332","65843","64125"
Idaho,"34567","43018","51881","65594","85201","108008","118953","121109","123796","131803"
Illinois,"452146","645288","729246","743918","906845","866893","825002","802211","777720","757002"
Indiana,"192668","247253","284832","314334","459493","447263","436455","426364","419284","398804"
Iowa,"108902","140449","170515","188974","381867","361189","282518","275106","266513","260954"
Kansas,"102485","136605","163733","179968","214849","213855","226290","219994","215832","213962"
Kentucky,"98591","143066","177852","188341","291104","281133","264197","255722","255062","258498"
Louisiana,"120728","160058","186840","223800","263676","258846","245938","245305","239278","242065"
Maine,"34134","43264","57186","58473","72406","73095","71750","71719","72116","71811"
Maryland,"149607","225180","259700","273745","377967","374496","365597","364225","366809","364207"
Massachusetts,"303809","418415","417833","421142","507753","514119","511060","510512","505722","503508"
Michigan,"392726","520131","569803","567631","697765","663703","619962","601462","583034","558053"
Minnesota,"160788","206691","253789","293445","465449","451661","433948","430466","422793","412966"
Mississippi,"73967","102364","122883","137389","179995","176618","170724","174183","172588","171751"
Missouri,"183930","233378","289899","321348","444750","441186","419935","409999","401098","383489"
Montana,"30062","35177","35876","42240","53282","53254","51942","50799","50918","50642"
Nebraska,"66915","89488","112831","112117","144692","139558","135825","136091","136098","135864"
Nevada,"13669","40455","61728","87893","129360","118300","119205","116101","116030","117574"
New Hampshire,"29400","46794","59510","61718","75539","82678","106559","123508","133159","149184"
New Jersey,"216121","321610","324286","335945","444092","439966","436249","423759","421386","419037"
New Mexico,"44461","58629","85500","110739","162552","156424","146246","138248","134607","129494"
New York,"806479","992349","1048286","1043395","1305151","1309684","1298972","1285406","1273634","1260240"
North Carolina,"171925","287537","352138","404652","585792","578265","569955","562442","561415","563831"
North Dakota,"31495","34069","37878","40248","56903","55242","54048","53834","54203","53749"
Ohio,"376267","488938","557690","549553","745115","710379","680558","664623","658043","649687"
Oklahoma,"110155","160295","173221","178016","230560","228492","215410","211117","208333","202051"
Oregon,"122177","157458","165741","183065","251708","254926","245547","240649","236851","229936"
Pennsylvania,"411044","507716","604060","609521","804640","777350","750376","736163","725682","717289"
Rhode Island,"45898","66869","78273","75450","85110","83952","83499","82292","83348","82766"
South Carolina,"69518","132476","159302","185931","257064","259617","254629","249655","246563","246388"
South Dakota,"30639","32761","34208","43221","58360","56058","53961","53664","53683","53620"
Tennessee,"135103","204841","226238","263910","351762","343478","326623","323869","321752","323157"
Texas,"442225","701391","901437","1033973","1535864","1544524","1556288","1579614","1605498","1630516"
Utah,"81687","92159","121303","163776","255653","267309","274926","292995","311450","332334"
Vermont,"22209","30628","36398","35489","45572","44697","43980","43865","44719","43855"
Virginia,"151915","280504","353442","381893","577922","588708","577911","569752","557444","554212"
Washington,"183544","303603","263384","320840","388116","365529","365186","364844","366547","367944"
West Virginia,"63153","81973","84790","87888","152431","162182","157052","150897","146608","142963"
Wisconsin,"202058","269086","299774","307179","384181","369738","358924","350255","341717","340770"
Wyoming,"15220","21147","31326","30004","38298","37812","35461","34205","33365","33015"

