Date,Concentration
12/16/2020,344.7124917
12/17/2020,411.8908048
12/18/2020,551.4413624
12/19/2020,502.1462
12/20/2020,678.490467
12/21/2020,430.6909869
12/22/2020,575.7206
12/23/2020,477.1296
12/24/2020,487.5056
12/25/2020,418.1776974
12/26/2020,460.3904
12/27/2020,353.2953521
12/28/2020,702.0562
12/29/2020,718.9368
12/30/2020,383.9633835
12/31/2020,668.1148
1/1/2021,665.9294
1/2/2021,369.0072
1/3/2021,360.5565355
1/4/2021,644.6554
1/5/2021,479.9408178
1/6/2021,552.9842
1/7/2021,560.2194
1/8/2021,440.3478264
1/9/2021,379.9320763
1/10/2021,708.7160596
1/11/2021,398.0938382
1/12/2021,470.3488
1/13/2021,758.0736749
1/14/2021,506.7618
1/15/2021,300.0230258
1/16/2021,1325.7052
1/17/2021,340.5849778
1/18/2021,349.3884
1/19/2021,337.6187848
1/20/2021,340.0299426
1/21/2021,342.0469697
1/22/2021,513.6690376
1/23/2021,289.3522778
1/24/2021,405.4034
1/25/2021,268.0594377
1/26/2021,279.8173227
1/27/2021,208.8233113
1/28/2021,161.2817506
1/29/2021,188.8737183
1/30/2021,215.4383086
1/31/2021,221.3067153
2/1/2021,283.4402283
2/2/2021,169.2129148
2/3/2021,1897.081273
2/4/2021,314.2727931
2/5/2021,144.6012199
2/6/2021,153.4280624
2/7/2021,169.0258676
2/8/2021,136.965558
2/9/2021,152.5421654
2/10/2021,157.6432601
2/11/2021,124.7388773
2/12/2021,148.6158152
2/13/2021,150.0287524
2/14/2021,240.0286583
2/15/2021,69.53440205
2/16/2021,63.62169966
2/17/2021,79.61088462
2/18/2021,115.6954776
2/19/2021,88.89781587
2/20/2021,77.11449871
2/21/2021,81.97931094
2/22/2021,43.79338929
2/23/2021,58.6016616
2/24/2021,62.23272959
2/25/2021,67.08646907
2/26/2021,88.36104759
2/27/2021,78.58966732
2/28/2021,64.93365223
3/1/2021,51.53008137
3/2/2021,53.77317679
3/3/2021,40.30895924
3/4/2021,88.00040312
3/5/2021,53.43285944
3/6/2021,56.11687045
3/7/2021,33.95890745
3/8/2021,42.68724827
3/9/2021,52.7861926
3/10/2021,46.8257958
3/11/2021,38.48496914
3/12/2021,39.5915002
3/13/2021,44.87878655
3/14/2021,45.62468018
3/15/2021,28.84235341
3/16/2021,26.76920084
3/17/2021,24.29160194
3/18/2021,27.58440768
3/19/2021,41.98439335
3/20/2021,34.51083848
3/21/2021,39.18688774
3/22/2021,31.77356946
3/23/2021,42.42729828
3/24/2021,32.6636582
3/25/2021,35.64008302
3/26/2021,38.60477484
3/27/2021,27.81192604
3/28/2021,26.06678574
3/29/2021,36.81889439
3/30/2021,28.71843063
3/31/2021,34.77451163
4/1/2021,51.61128759
4/2/2021,51.3254855
4/3/2021,28.79393607
4/4/2021,24.08207418
4/5/2021,21.67348282
4/6/2021,21.04698787
4/7/2021,22.00195916
4/8/2021,24.18370926
4/9/2021,26.48740832
4/10/2021,54.72494885
4/11/2021,27.08681327
4/12/2021,32.45664844
4/13/2021,32.2140681
4/14/2021,34.7419409
4/15/2021,38.1874295
4/16/2021,25.28400637
4/17/2021,37.59583328
4/18/2021,38.24116783
4/19/2021,28.16864959
4/20/2021,27.80803219
4/21/2021,21.3366153
4/22/2021,27.15296834
4/23/2021,34.11683868
4/24/2021,26.12994336
4/25/2021,22.90859541
4/26/2021,23.77111267
4/27/2021,17.07714524
4/28/2021,34.88117554
4/29/2021,23.33331761
4/30/2021,52.38180437
5/1/2021,15.30301334
5/2/2021,14.57683396
5/3/2021,18.86110453
5/4/2021,8.949343042
5/5/2021,14.01810651
5/6/2021,20.81037248
5/7/2021,17.67313936
5/8/2021,16.06911664
5/9/2021,12.51214133
5/10/2021,32.97305893
5/11/2021,13.01985465
5/12/2021,10.33244425
5/13/2021,23.47351404
5/14/2021,13.26058972
5/15/2021,19.67674074
5/16/2021,14.29298372
5/17/2021,23.17790759
5/18/2021,10.87993332
5/19/2021,10.30241225
5/20/2021,7.634985925
5/21/2021,26.58146543
5/22/2021,9.156126818
5/23/2021,12.7194343
5/24/2021,9.73408835
5/25/2021,8.193835174
5/26/2021,18.73370901
