Bar Closures,Date,Gathering Bans,Mask Mandates,Restaurant Closures,Stay at Home Orders,Booster Dose,Daily Test,Dose 1,Fully Vaccinated,New Cases,New Deaths,Total Doses
No restriction found,3/1/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,57,0,0,0,0,0
No restriction found,3/2/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,114,0,0,5,0,0
No restriction found,3/3/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,86,0,0,4,0,0
No restriction found,3/4/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,68,0,0,10,0,0
No restriction found,3/5/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,183,0,0,7,1,0
No restriction found,3/6/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,207,0,0,9,0,0
No restriction found,3/7/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,491,0,0,19,0,0
No restriction found,3/8/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,176,0,0,26,0,0
No restriction found,3/9/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,199,0,0,19,0,0
No restriction found,3/10/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,501,0,0,24,1,0
No restriction found,3/11/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,649,0,0,20,1,0
No restriction found,3/12/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,1493,0,0,21,0,0
No restriction found,3/13/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,1180,0,0,49,1,0
No restriction found,3/14/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,1787,0,0,41,0,0
No restriction found,3/15/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,1582,0,0,47,1,0
No restriction found,3/16/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,2101,0,0,57,1,0
No restriction found,3/17/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,2288,0,0,80,0,0
No restriction found,3/18/2020,No order found,No state/territorial mask mandate,No restriction found,No order found,0,2901,0,0,38,2,0
